State,Total,id
Alabama,1004.0,1
Alaska,358.0,2
Arizona,3830.0,4
Arkansas,383.0,5
California,11824.0,6
Colorado,2610.0,8
Connecticut,3025.0,9
Delaware,740.0,10
Florida,9537.0,12
Georgia,2543.0,13
Hawaii,329.0,15
Idaho,230.0,16
Illinois,6153.0,17
Indiana,1831.0,18
Iowa,487.0,19
Kansas,479.0,20
Kentucky,2557.0,21
Louisiana,1077.0,22
Maine,688.0,23
Maryland,5968.0,24
Massachusetts,4570.0,25
Michigan,5879.0,26
Minnesota,1221.0,27
Mississippi,216.0,28
Missouri,2991.0,29
Montana,12.0,30
Nebraska,177.0,31
Nevada,2526.0,32
New Hampshire,715.0,33
New Jersey,5447.0,34
New Mexico,1680.0,35
New York,10892.0,36
North Carolina,4569.0,37
North Dakota,11.0,38
Ohio,10298.0,39
Oklahoma,1598.0,40
Oregon,1684.0,41
Pennsylvania,6262.0,42
Rhode Island,870.0,44
South Carolina,1959.0,45
South Dakota,20.0,46
Tennessee,3886.0,47
Texas,5711.0,48
Utah,2474.0,49
Vermont,146.0,50
Virginia,2588.0,51
Washington,3873.0,53
West Virginia,2826.0,54
Wisconsin,3110.0,55
Wyoming,21.0,56
