State,acres,id
Alabama,32413011.2,1
Alaska,365210208,2
Arizona,72700211.2,4
Arkansas,33302707.2,5
California,99698700.8,6
Colorado,66330809.6,8
Connecticut,3099110.4,9
Delaware,1247065.6,10
Florida,34319846.4,12
Georgia,36808633.6,13
Hawaii,4110483.2,15
Idaho,52891596.8,16
Illinois,35532115.2,17
Indiana,22928710.4,18
Iowa,35748563.2,19
Kansas,52325580.8,20
Kentucky,25271257.6,21
Louisiana,27650496,22
Maine,19739468.8,23
Maryland,6212633.6,24
Massachusetts,4992038.4,25
Michigan,36184896,26
Minnesota,50961113.6,27
Mississippi,30030892.8,28
Missouri,43994572.8,29
Montana,93149312,30
Nebraska,49167468.8,31
Nevada,70259955.2,32
New Hampshire,5729696,33
New Jersey,4706700.8,34
New Mexico,77630816,35
New York,30160896,36
North Carolina,31115462.4,37
North Dakota,44160512,38
Ohio,26150841.6,39
Oklahoma,43900748.8,40
Oregon,61432326.4,41
Pennsylvania,28635328,42
Rhode Island,661638.4,44
South Carolina,19238848,45
South Dakota,48519040,46
Tennessee,26390336,47
Texas,167188294.4,48
Utah,52588556.8,49
Vermont,5898662.4,50
Virginia,25273657.6,51
Washington,42531532.8,53
West Virginia,15384454.4,54
Wisconsin,34660992,55
Wyoming,62139609.6,56
